"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 22:27:39 UTC 2026","Thu Jun 04 22:27:39 UTC 2026","115","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc08_orclActionIsSell","TC-08: ORCL action is SELL (positive variance)",""
"passed","Thu Jun 04 22:27:38 UTC 2026","Thu Jun 04 22:27:38 UTC 2026","194","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc03_resultsSectionVisibleAfterCalculate","TC-03: Results section appears after Calculate",""
"passed","Thu Jun 04 22:27:49 UTC 2026","Thu Jun 04 22:27:51 UTC 2026","1577","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc27_addedSecurityAppearsInResults","TC-27: Add new security row appears in results",""
"passed","Thu Jun 04 22:27:41 UTC 2026","Thu Jun 04 22:27:41 UTC 2026","154","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc19_zeroTotalAssetsShowsError","TC-19: Total assets = 0 shows error",""
"passed","Thu Jun 04 22:27:48 UTC 2026","Thu Jun 04 22:27:48 UTC 2026","156","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc25_ibmSharesForDifferentPortfolioSizes","TC-25: IBM share count is correct across different portfolio sizes",""
"passed","Thu Jun 04 22:27:41 UTC 2026","Thu Jun 04 22:27:41 UTC 2026","141","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc20_largePortfolioScalesCorrectly","TC-20: Large portfolio $10M – IBM BUY 6666 shares",""
"passed","Thu Jun 04 22:27:37 UTC 2026","Thu Jun 04 22:27:37 UTC 2026","52","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc01_resultsSectionHiddenOnLoad","TC-01: Results section is hidden before calculation",""
"passed","Thu Jun 04 22:27:38 UTC 2026","Thu Jun 04 22:27:38 UTC 2026","188","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc04_resetHidesResults","TC-04: Reset clears results table",""
"passed","Thu Jun 04 22:27:47 UTC 2026","Thu Jun 04 22:27:47 UTC 2026","212","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc25_ibmSharesForDifferentPortfolioSizes","TC-25: IBM share count is correct across different portfolio sizes",""
"passed","Thu Jun 04 22:27:51 UTC 2026","Thu Jun 04 22:27:51 UTC 2026","1","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc31_shareCountUseFloor","TC-31: Share count uses floor, not round",""
"passed","Thu Jun 04 22:27:51 UTC 2026","Thu Jun 04 22:27:51 UTC 2026","6","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc28_calculatorActionBuy","TC-28: Calculator identifies BUY for negative variance",""
"passed","Thu Jun 04 22:27:39 UTC 2026","Thu Jun 04 22:27:39 UTC 2026","94","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc09_orclSharesToSell","TC-09: ORCL shares to sell = 45",""
